"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GGZJZ4UL","book","2022","Gelwicks, Andrew","The queer advantage: conversations with LGBTQ+ leaders on the power of identity","","978-0-306-87463-5","","","","","2022","2025-03-26 18:55:58","2025-03-26 18:55:58","","","346","","","","","The queer advantage","","","","","Hachette Go, an imprint of Hachette Books","New York","","","","","","Library Catalog (Blacklight)","HQ73 .G44 2022","OCLC: 1296940808","","","https://catalog.libraries.psu.edu/catalog/39620515","","Gay people; Identity; Interviews; Sexual minorities","","","","","","","","","","","","","","","","","","","","First trade paperback edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J7D3NDDP","book","2018","McNabb, Charlie","Nonbinary gender identities: history, culture, resources","","978-1-4422-7551-5","","","","""Nonbinary gender identities are those that fall outside the traditional binary of ""man"" and ""woman."" These include genderfluid, androgynous, genderqueer, and a multitude of other identity terms, some of which overlap. Although there have always been people who identify outside the gender binary, only recently have they gained popular media attention. Despite some visibility, however, nonbinary gender identities are poorly understood by the general public. It is critically important for gender minorities to find themselves in the media that they consume. Just as important is the need for those outside the minority community to understand and appreciate them. Nonbinary gender identities are represented in books and other media, but these resources prove difficult to locate, as classification vocabulary doesn't evolve as quickly as community language. Reference sources identified include archives and special collections, theses and dissertations, key journals, and related organizations and associations. This timely resource--the first reference on nonbinary gender identities--offers an accessible entry into researching this topic. Written by a nonbinary scholar and librarian, this guide includes valuable appendixes that will aid every researcher and writer: a glossary of the rich vocabulary emerging from nonbinary communities; a guide to pronoun usage; a primer on sex, sexuality, and gender; and Library of Congress Classification information.""","2018","2025-03-26 18:55:58","2025-03-26 18:55:58","","","283","","","","","Nonbinary gender identities","","","","","Rowman & Littlefield","Lanham, Maryland","","","","","","Library Catalog (Blacklight)","HQ73 .M36 2018","OCLC: 1002043873","","","https://catalog.libraries.psu.edu/catalog/22083122","","Gender identity; Gender nonconformity; Gender-nonconforming people; Genderqueer people; Geschlechtsidentität; Nonbinary gender identities; Nonfiction; Nonkonformismus; SOCIAL SCIENCE / Sociology / General; Transgender people; USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XBABBJYT","book","2021","","Q & A: voices from queer Asian North America","","978-1-4399-2108-1 978-1-4399-2109-8","","","","""This book offers a vibrant array of contemporary Asian North American LGBT scholarship and cultural productions from essays, poetry, visual art, and memoirs of activists and scholars""--","2021","2025-03-26 18:55:58","2025-03-26 18:55:58","","","437","","","","","Q & A","Asian American history and culture","","","","Temple University Press","Philadelphia","","","","","","Library Catalog (Blacklight)","HQ73.3.N7 Q113 2021","OCLC: 1200581108","","","https://catalog.libraries.psu.edu/catalog/36499555","","Gay people; Identity; Transgender people; Asian American bisexual people; Asian American gay people; Asian American lesbians; Bisexual people; Gays; Lesbians; North America; Queer theory; Social conditions","Manalansan, Martin F.; Hom, Alice Y.; Fajardo, Kale Bantigue; Eng, David L.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XY2GVKTJ","book","1991","","Bi any other name: bisexual people speak out","","978-1-55583-174-5","","","","","1991","2025-03-26 18:55:58","2025-03-26 18:55:58","","","379","","","","","Bi any other name","","","","","Alyson Publications","Boston","","","","","","Library Catalog (Blacklight)","HQ74 .B5 1990","","","","https://catalog.libraries.psu.edu/catalog/1690331","","Bisexuality; United States","Hutchins, Loraine; Kaahumanu, Lani","","","","","","","","","","","","","","","","","","","1st ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U4YQZNMD","book","1987","","The Bisexual spouse: different dimensions in human sexuality","","978-0-937525-01-2","","","","","1987","2025-03-26 18:55:58","2025-03-26 18:55:58","","","264","","","","","The Bisexual spouse","","","","","Barlina Books","McLean, Va","","","","","","Library Catalog (Blacklight)","HQ74 .B56 1987","","","","https://catalog.libraries.psu.edu/catalog/1347895","","United States; Bisexuality in marriage; Case studies; Homosexuality; Sexual behavior surveys","Hill, Ivan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GA4C4MAL","book","1989","Gochros, Jean S.","When husbands come out of the closet","","978-0-86656-868-5","","","","","1989","2025-03-26 18:55:58","2025-03-26 18:55:58","","","267","","","","","","Haworth series on women","v. #1","","","Haworth Press","New York","","","","","","Library Catalog (Blacklight)","HQ74 .G63 1989","","","","https://catalog.libraries.psu.edu/catalog/1275270","","United States; Bisexuality in marriage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"288FH6JE","book","2000","","Gay histories and cultures: an encyclopedia","","978-0-8153-1880-4","","","","","2000","2025-03-26 18:55:58","2025-03-26 18:55:58","","","986","","","","","Gay histories and cultures","Encyclopedia of lesbian and gay histories and cultures","v. 2","","","Garland","New York","","","","","","Library Catalog (Blacklight)","HQ75.13 .G37 2000","","","","https://catalog.libraries.psu.edu/catalog/2113840","","Encyclopedias; Gay men; Male homosexuality","Haggerty, George E.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E3PW383M","book","2002","","Handbook of lesbian and gay studies","","978-0-7619-6511-4","","","","","2002","2025-03-26 18:55:58","2025-03-26 18:55:58","","","472","","","","","","","","","","SAGE","London ; Thousand Oaks, Calif","","","","","","Library Catalog (Blacklight)","HQ75.15 .H36 2002","OCLC: 48361751","","","https://catalog.libraries.psu.edu/catalog/2425244","","Homosexuality; Gay and lesbian studies; Handbooks, manuals, etc; Lesbianism","Richardson, Diane; Seidman, Steven","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F6JMFYP2","book","2001","","Queer families, queer politics: challenging culture and the state","","978-0-231-11690-9 978-0-231-11691-6","","","","","2001","2025-03-26 18:55:58","2025-03-26 18:55:58","","","461","","","","","Queer families, queer politics","Between men--between women","","","","Columbia University Press","New York","","","","","","Library Catalog (Blacklight)","HQ75.15 .Q44 2001","","","","https://catalog.libraries.psu.edu/catalog/2040388","","Lesbians; Bisexuality; Gay men; Gay and lesbian studies; Family relationships","Bernstein, Mary; Reimann, Renate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y42SH5FZ","book","2006","Waitt, Gordon; Markwell, Kevin","Gay tourism: culture and context","","978-0-7890-1602-7 978-0-7890-1603-4","","","","","2006","2025-03-26 18:57:16","2025-03-26 18:57:16","","","307","","","","","Gay tourism","","","","","Haworth Hospitality Press","New York","","","","","","Library Catalog (Blacklight)","HQ75.25 .W35 2006","","","","https://catalog.libraries.psu.edu/catalog/3980924","","Gay people; Culture and tourism; Sex tourism; Social life and customs; Travel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4RBXZKKY","book","2024","","A great gay book: stories of growth, belonging, & other queer possibilities","","978-1-4197-6678-7","","","","""A Great Gay Book is a gorgeously designed collection of art, essays, short fiction, poetry, interviews, profiles, and photography from the archives of the beloved queer magazine Hello Mr., as well as new material from many of today's biggest LGBTQ+ creatives. In these pages, the magazine's founder, Ryan Fitzgibbon, has curated the most evergreen written and visual content from the publication's archives, and showcases work from a class of contributors--the result is a vibrant compendium of celebrated and emerging queer voices.""--","2024","2025-03-26 19:02:27","2025-03-26 19:02:27","","","431","","","","","A great gay book","","","","","Abrams","New York","","","","","","Library Catalog (Blacklight)","HQ73 .G74 2024","OCLC: 1436665998","","","https://catalog.libraries.psu.edu/catalog/45338358","","Interviews; Sexual minorities; United States; Gay men; Culture des minorités sexuelles; Culture homosexuelle; Essays; États-Unis; Flash fiction; Gay culture; Homosexuels masculins; Illustrated works; interviews; LGBTQ+ artists; LGBTQ+ literature; LGBTQ+ people; Micronouvelles; Minorités sexuelles; Ouvrages illustrés; Poésie; Poésie queer; poetry; Poetry; Queer artists; Queer culture; Queer literature; Queer people; Queer poetry; Sexual minority culture","Fitzgibbon, Ryan; Lin, Jeremy Atherton; Lady Bunny; Chee, Alexander; Greenwell, Garth; Jones, Saeed; Morris, Wesley; Nicholas, Chani; Pico, Tommy; Purnell, Brontez; Roberts, L. J.; Rodriguez, Mathew; Sargent, Antwaun; Tirado, Fran; Vuong, Ocean; Washington, Bryan; Wiley, Kehinde; Waters, John; Wortham, J.; Yanagihara, Hanya","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4WD6THC2","book","2002","Johnson, Suzanne M.; O'Connor, Elizabeth","The gay baby boom: the psychology of gay parenthood","","978-0-8147-4260-0 978-0-8147-4261-7","","","","","2002","2025-03-26 19:03:31","2025-03-26 19:03:31","","","193","","","","","The gay baby boom","","","","","New York University Press","New York","","","","","","Library Catalog (Blacklight)","HQ75.27 .J64 2002","OCLC: 48013664","","","https://catalog.libraries.psu.edu/catalog/2277794","","Children of gay parents; Gay parents; Parent and child; Parenting; Psychology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DSSI75ST","book","1999","Borich, Barrie Jean","My lesbian husband: landscapes of a marriage","","978-1-55597-292-9","","","","","1999","2025-03-26 19:04:42","2025-03-26 19:04:42","","","294","","","","","My lesbian husband","","","","","Greywolf Press","Saint Paul. Minn","","","","","","Library Catalog (Blacklight)","HQ75.5 .B69 1999x","","","","https://catalog.libraries.psu.edu/catalog/2072296","","Lesbians; Biography; Borich, Barrie Jean; Lesbian couples; Minnesota Minneapolis; Same-sex marriage; Stenson, Linnea Anne","","","","","","","","","","","","","","","","","","","","1st Greywolf printing","","","","","","","","","","","","","","","","","","","","","","","","","",""
