Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,Date,Date Added,Date Modified,Short Title,Publisher,Place,Lat/Long,Library Catalog,Call Number,Automatic Tags
GGZJZ4UL,book,2022,"Gelwicks, Andrew",The queer advantage: conversations with LGBTQ+ leaders on the power of identity,,978-0-306-87463-5,2022,2025-03-26 18:55:58,2025-03-26 18:55:58,The queer advantage,"Hachette Go, an imprint of Hachette Books","New York City, NY","40.7127281,-74.0060152",Library Catalog (Blacklight),HQ73 .G44 2022,Gay people; Identity; Interviews; Sexual minorities
J7D3NDDP,book,2018,"McNabb, Charlie","Nonbinary gender identities: history, culture, resources",,978-1-4422-7551-5,2018,2025-03-26 18:55:58,2025-03-26 18:55:58,Nonbinary gender identities,Rowman & Littlefield,"Lanham, Maryland","38.965365,-76.8417927",Library Catalog (Blacklight),HQ73 .M36 2018,Gender identity; Gender nonconformity; Gender-nonconforming people; Genderqueer people; Geschlechtsidentität; Nonbinary gender identities; Nonfiction; Nonkonformismus; SOCIAL SCIENCE / Sociology / General; Transgender people; USA
XBABBJYT,book,2021,,Q & A: voices from queer Asian North America,,978-1-4399-2108-1 978-1-4399-2109-8,2021,2025-03-26 18:55:58,2025-03-26 18:55:58,Q & A,Temple University Press,"Philadelphia, PA","39.9527237,-75.1635262",Library Catalog (Blacklight),HQ73.3.N7 Q113 2021,Gay people; Identity; Transgender people; Asian American bisexual people; Asian American gay people; Asian American lesbians; Bisexual people; Gays; Lesbians; North America; Queer theory; Social conditions
XY2GVKTJ,book,1991,,Bi any other name: bisexual people speak out,,978-1-55583-174-5,1991,2025-03-26 18:55:58,2025-03-26 18:55:58,Bi any other name,Alyson Publications,"Boston, MA","42.3554334,-71.060511",Library Catalog (Blacklight),HQ74 .B5 1990,Bisexuality; United States
U4YQZNMD,book,1987,,The Bisexual spouse: different dimensions in human sexuality,,978-0-937525-01-2,1987,2025-03-26 18:55:58,2025-03-26 18:55:58,The Bisexual spouse,Barlina Books,"McLean, Va","38.9366852,-77.185843",Library Catalog (Blacklight),HQ74 .B56 1987,United States; Bisexuality in marriage; Case studies; Homosexuality; Sexual behavior surveys
GA4C4MAL,book,1989,"Gochros, Jean S.",When husbands come out of the closet,,978-0-86656-868-5,1989,2025-03-26 18:55:58,2025-03-26 18:55:58,,Haworth Press,New York,"40.7127281,-74.0060152",Library Catalog (Blacklight),HQ74 .G63 1989,United States; Bisexuality in marriage
288FH6JE,book,2000,,Gay histories and cultures: an encyclopedia,,978-0-8153-1880-4,2000,2025-03-26 18:55:58,2025-03-26 18:55:58,Gay histories and cultures,Garland,"New York City, NY","40.7127281,-74.0060152",Library Catalog (Blacklight),HQ75.13 .G37 2000,Encyclopedias; Gay men; Male homosexuality
E3PW383M,book,2002,,Handbook of lesbian and gay studies,,978-0-7619-6511-4,2002,2025-03-26 18:55:58,2025-03-26 18:55:58,,SAGE,"London ; Thousand Oaks, Calif","34.1903505,-118.8656465",Library Catalog (Blacklight),HQ75.15 .H36 2002,"Homosexuality; Gay and lesbian studies; Handbooks, manuals, etc; Lesbianism"
F6JMFYP2,book,2001,,"Queer families, queer politics: challenging culture and the state",,978-0-231-11690-9 978-0-231-11691-6,2001,2025-03-26 18:55:58,2025-03-26 18:55:58,"Queer families, queer politics",Columbia University Press,"New York City, NY","40.7127281,-74.0060152",Library Catalog (Blacklight),HQ75.15 .Q44 2001,Lesbians; Bisexuality; Gay men; Gay and lesbian studies; Family relationships
Y42SH5FZ,book,2006,"Waitt, Gordon; Markwell, Kevin",Gay tourism: culture and context,,978-0-7890-1602-7 978-0-7890-1603-4,2006,2025-03-26 18:57:16,2025-03-26 18:57:16,Gay tourism,Haworth Hospitality Press,"New York City, NY","40.7127281,-74.0060152",Library Catalog (Blacklight),HQ75.25 .W35 2006,Gay people; Culture and tourism; Sex tourism; Social life and customs; Travel
4RBXZKKY,book,2024,,"A great gay book: stories of growth, belonging, & other queer possibilities",,978-1-4197-6678-7,2024,2025-03-26 19:02:27,2025-03-26 19:02:27,A great gay book,Abrams,New York,"40.7127281,-74.0060152",Library Catalog (Blacklight),HQ73 .G74 2024,Interviews; Sexual minorities; United States; Gay men; Culture des minorités sexuelles; Culture homosexuelle; Essays; États-Unis; Flash fiction; Gay culture; Homosexuels masculins; Illustrated works; interviews; LGBTQ+ artists; LGBTQ+ literature; LGBTQ+ people; Micronouvelles; Minorités sexuelles; Ouvrages illustrés; Poésie; Poésie queer; poetry; Poetry; Queer artists; Queer culture; Queer literature; Queer people; Queer poetry; Sexual minority culture
4WD6THC2,book,2002,"Johnson, Suzanne M.; O'Connor, Elizabeth",The gay baby boom: the psychology of gay parenthood,,978-0-8147-4260-0 978-0-8147-4261-7,2002,2025-03-26 19:03:31,2025-03-26 19:03:31,The gay baby boom,New York University Press,New York,"40.7127281,-74.0060152",Library Catalog (Blacklight),HQ75.27 .J64 2002,Children of gay parents; Gay parents; Parent and child; Parenting; Psychology
DSSI75ST,book,1999,"Borich, Barrie Jean",My lesbian husband: landscapes of a marriage,,978-1-55597-292-9,1999,2025-03-26 19:04:42,2025-03-26 19:04:42,My lesbian husband,Greywolf Press,Saint Paul. Minn,"44.9497487,-93.0931028",Library Catalog (Blacklight),HQ75.5 .B69 1999x,"Lesbians; Biography; Borich, Barrie Jean; Lesbian couples; Minnesota Minneapolis; Same-sex marriage; Stenson, Linnea Anne"
